Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,spads,shorefor,obs
2015-01-06,64.700134,65.88407897949219,65.9863052368164,64.92311096191406,67.12814331054688,66.50273132324219,66.25994873046875,67.52505493164062,67.33860778808594,64.13565063476562,68.308,62.962,64.35043
2015-01-07,62.983154,65.36326599121094,66.10608673095703,62.78542709350586,66.52711486816406,65.21898651123047,65.53486633300781,67.1368408203125,67.340576171875,63.115013122558594,68.174,62.949,64.62686
2015-01-08,63.51849,65.33325958251953,65.85685729980469,63.63551712036133,66.33232116699219,66.75045013427734,65.51589965820312,66.7371597290039,67.27032470703125,64.43003845214844,68.05,62.921,64.87
2015-01-09,61.885185,64.37010192871094,65.42090606689453,62.228858947753906,66.08676147460938,65.40943145751953,64.49415588378906,66.49346923828125,66.5399169921875,63.542720794677734,68.005,62.834,65.05072
2015-01-10,61.302483,64.26342010498047,64.88726043701172,62.37030792236328,65.05560302734375,66.03447723388672,64.27802276611328,65.85128784179688,66.17839813232422,63.376407623291016,68.081,62.762,65.45058
2015-01-11,61.66309,64.33177947998047,65.38231658935547,62.25844955444336,66.03392791748047,65.41292572021484,64.37361907958984,66.32415771484375,66.42268371582031,62.63764190673828,68.223,62.758,65.51015
2015-01-12,62.897713,65.58157348632812,66.66724395751953,63.91056442260742,66.21363830566406,66.17857360839844,66.19241333007812,65.91535186767578,66.58744812011719,63.12167739868164,68.287,62.811,65.02857
2015-01-13,63.718,66.2413101196289,67.5761489868164,64.99163055419922,66.8884506225586,66.782470703125,66.98698425292969,66.4034652709961,67.2608413696289,63.92324447631836,68.159,62.955,64.416
2015-01-14,64.606834,65.8935775756836,67.66439819335938,64.97136688232422,66.73509216308594,68.44734954833984,66.13496398925781,66.49188995361328,67.54596710205078,65.03234100341797,67.879,63.134,63.56914
2015-01-15,63.942802,65.10456085205078,66.88101959228516,64.48759460449219,66.487060546875,66.10840606689453,65.43016052246094,66.05396270751953,66.64765930175781,64.40776824951172,67.553,63.211,62.510143
2015-01-16,62.253754,62.85127639770508,64.88502502441406,63.00463104248047,65.25955200195312,65.68334197998047,62.95270919799805,65.29804229736328,65.71595764160156,63.3520622253418,67.274,63.119,61.628
2015-01-17,61.00159,62.08612060546875,63.74302673339844,61.743255615234375,64.49851989746094,64.01899719238281,62.35210418701172,64.82414245605469,64.71549987792969,61.825958251953125,67.127,62.993,60.884144
2015-01-18,59.96608,62.350460052490234,63.11149215698242,60.607872009277344,63.87728500366211,64.41914367675781,63.107208251953125,63.93259048461914,63.79842758178711,62.13233947753906,67.153,62.923,60.78357
2015-01-19,61.598183,63.23251724243164,63.867733001708984,61.76981735229492,64.73721313476562,64.56840515136719,64.00679779052734,64.62516784667969,65.21385192871094,62.68357849121094,67.29,62.921,60.799572
2015-01-20,62.985424,64.92034149169922,65.4288330078125,63.573158264160156,65.08706665039062,65.1939926147461,65.7845458984375,65.39981079101562,66.32762145996094,64.35821533203125,67.419,62.989,60.708286
2015-01-21,63.604088,64.81763458251953,65.41405487060547,64.176025390625,64.62482452392578,67.31810760498047,65.56536865234375,64.52338409423828,65.99002075195312,65.40515899658203,67.405,63.151,60.878
2015-01-22,64.2709,66.16667175292969,66.76142883300781,64.96817779541016,65.462646484375,66.77547454833984,66.72137451171875,65.02503204345703,67.08558654785156,67.15486145019531,67.165,63.344,61.628998
2015-01-23,65.62061,66.04398345947266,67.36741638183594,66.18099975585938,66.10372161865234,66.78678894042969,66.45758056640625,65.75695037841797,67.55852508544922,67.8527603149414,66.688,63.408,61.31672
