Datetime,p15b8k2,p17b8k4,p19b8k6,obs
2018-07-25,16.149052,17.002670288085938,16.348304748535156,25.14972
2018-07-26,16.305685,18.588470458984375,15.854817390441895,25.260845
2018-07-27,15.532479,17.633913040161133,16.05363655090332,25.371973
2018-07-28,14.551192,16.343578338623047,15.654566764831543,25.483099
2018-07-29,13.3985195,14.365535736083984,14.66620922088623,25.594227
2018-07-30,11.968926,13.196907997131348,12.952836036682129,25.705353
2018-07-31,10.83672,12.21055793762207,12.685813903808594,25.816479
2018-08-01,10.724541,12.766631126403809,12.531937599182129,25.927607
2018-08-02,10.278733,12.766631126403809,12.49061393737793,26.038733
2018-08-03,9.0573635,12.279064178466797,10.614714622497559,26.14986
2018-08-04,7.7399497,11.279036521911621,10.632089614868164,26.260986
2018-08-05,5.382309,9.064311981201172,7.881636619567871,26.372112
2018-08-06,8.326239,7.430777549743652,11.010021209716797,26.48324
2018-08-07,6.3453503,6.246150493621826,10.726799964904785,26.594366
2018-08-08,6.4260974,7.174184322357178,8.048267364501953,26.705494
2018-08-09,8.362656,8.736702919006348,10.24169921875,26.816622
2018-08-10,14.80459,11.058479309082031,15.449223518371582,26.927748
2018-08-11,16.38644,14.696478843688965,15.449223518371582,27.038876
2018-08-12,15.793541,16.035024642944336,15.218076705932617,27.150002
2018-08-13,16.613161,18.5688533782959,17.675861358642578,27.32273
2018-08-14,18.733788,19.132295608520508,17.763490676879883,27.495455
2018-08-15,17.951881,17.506378173828125,19.6594181060791,27.668182
2018-08-16,20.661623,16.77747917175293,19.6594181060791,27.84091
2018-08-17,19.472157,16.317317962646484,20.197715759277344,28.013638
2018-08-18,21.149553,18.04613494873047,20.197715759277344,28.186365
2018-08-19,17.152422,19.96346664428711,15.140924453735352,28.359093
2018-08-20,18.320274,20.90960693359375,17.195571899414062,28.531818
2018-08-21,17.06005,18.832942962646484,17.747243881225586,28.704546
2018-08-22,20.36716,16.957563400268555,19.190673828125,28.877274
2018-08-23,19.456106,15.710301399230957,19.190673828125,29.050001
2018-08-24,19.311062,17.2656307220459,19.952550888061523,29.222727
2018-08-25,20.410454,20.620805740356445,19.952550888061523,29.395456
2018-08-26,23.907475,23.561948776245117,22.56160545349121,29.568184
2018-08-27,25.733288,25.22417449951172,22.722017288208008,29.74091
2018-08-28,24.277428,24.359092712402344,22.78616714477539,29.91364
2018-08-29,23.056995,22.99281120300293,22.107942581176758,30.086363
2018-08-30,22.234766,21.2752685546875,20.936176300048828,30.259092
2018-08-31,23.230328,20.752946853637695,21.863903045654297,30.431818
2018-09-01,22.160156,19.95191192626953,21.40277862548828,30.604546
2018-09-02,13.156537,19.025136947631836,13.979616165161133,30.777275
2018-09-03,14.799668,18.01738929748535,14.440740585327148,30.95
2018-09-04,14.326723,12.5245943069458,15.27847671508789,31.122728
2018-09-05,15.989791,12.348528861999512,15.27847671508789,31.295454
2018-09-06,9.927878,10.32886791229248,9.994044303894043,31.468184
2018-09-07,12.551857,12.647751808166504,14.116601943969727,31.640911
2018-09-08,15.388536,15.822624206542969,14.561959266662598,31.813637
2018-09-09,15.3913555,17.05373764038086,14.380136489868164,31.986364
2018-09-10,9.547738,15.567363739013672,8.44456958770752,32.15909
