Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,spads,shorefor
2016-05-04,68.074425,68.32140350341797,68.33106994628906,66.4366455078125,71.52513122558594,68.48974609375,68.2953109741211,70.5484390258789,68.75467681884766,67.7921371459961,69.416,61.572
2016-05-05,68.911545,68.5970230102539,68.72554016113281,67.55225372314453,71.57228088378906,69.05001831054688,68.64385223388672,70.9226303100586,68.6199951171875,69.02032470703125,68.946,61.682
2016-05-06,69.25426,67.95960235595703,68.95716094970703,67.4838638305664,71.80391693115234,70.28462219238281,67.78036499023438,71.25836944580078,69.43538665771484,69.68708038330078,68.428,61.752
2016-05-07,70.20989,68.57941436767578,69.50865173339844,69.190673828125,72.47166442871094,70.19511413574219,69.36044311523438,71.95730590820312,69.94480895996094,70.89112091064453,67.894,61.801
2016-05-08,70.06988,68.27565002441406,69.54802703857422,69.65352630615234,72.38247680664062,69.58179473876953,68.90974426269531,71.56367492675781,69.59889221191406,70.73838806152344,67.465,61.805
2016-05-09,71.20282,68.72116088867188,69.69746398925781,70.91753387451172,73.7876205444336,69.55719757080078,69.73926544189453,72.22879028320312,70.18193817138672,71.19375610351562,67.258,61.769
2016-05-10,70.69991,68.46448516845703,69.8069076538086,70.04074096679688,73.088134765625,69.36859130859375,69.91870880126953,72.41289520263672,70.05860137939453,71.03765869140625,67.319,61.701
2016-05-11,72.0361,69.75569915771484,70.36163330078125,70.82907104492188,72.59672546386719,71.68497467041016,69.9054183959961,72.24970245361328,70.40292358398438,71.3956298828125,67.686,61.616
2016-05-12,71.27816,69.50552368164062,69.64576721191406,69.8291244506836,72.64553833007812,71.14832305908203,69.74161529541016,72.35165405273438,70.11478424072266,71.49459075927734,68.284,61.485
2016-05-13,70.19269,69.35884094238281,69.69573974609375,69.18970489501953,71.84085083007812,71.16743469238281,69.17263793945312,71.95037078857422,70.00658416748047,71.1224136352539,68.896,61.436
2016-05-14,69.748566,70.26776123046875,70.49549865722656,68.75753021240234,71.95079040527344,71.06696319580078,69.78197479248047,72.25337982177734,70.23279571533203,70.90156555175781,69.358,61.555
2016-05-15,70.03263,69.93302917480469,70.05901336669922,69.0705795288086,72.47290802001953,71.92704772949219,69.23516082763672,71.73251342773438,70.47341918945312,71.82361602783203,69.602,61.716
2016-05-16,69.86917,70.20103454589844,70.56021118164062,68.95413208007812,72.24862670898438,71.59178924560547,69.97032165527344,71.97282409667969,70.73872375488281,71.51136016845703,69.586,61.886
